WKT,name,description
"APOINT (-74.5298027 39.4933532)",_WING_MAIN,0, A_WING_ENTRANCE:B_WING_MAIN:Exit_Stairs_A:Inside_B_Stairs
"POINT (-74.5289937 39.4933873)",Entrance_AaS,0,Shuttle_Drop_Off:College_Walk_A:A_WING_ENTRANCE
"POINT (-74.5296845 39.4933526)",A_WING_ENTRANCE,0,A_WING_MAIN:College_Walk_B:Exit_Stairs_A
"POINT (-74.5300134 39.4933424)",B_WING_MAIN,0-1, B_Wing_Entrance:Inside_B_Stairs:Einstein_Bros_Entrance:C_WING_MAIN
"POINT (-74.5300697 39.4929693)",B_Wing_Entrance,0,College_Walk_C:Out_Stairs_B:B_WING_MAIN
"POINT (-74.5303568 39.4933791)",C_WING_MAIN,0-1, B_WING_MAIN:Einstein_Bros_Entrance:Exit_Stairs_C:D_WING_MAIN
"POINT (-74.5303044 39.4932996)",Einstein_Bros_Entrance,0,College_Walk_C:Out_Stair_B:Inside_B_Stairs:B_WING_MAIN:C_WING_MAIN
"POINT (-74.5305127 39.4938209)",C_WING_BACK_ENTRANCE,0-1,D_WING_BACK_ENTRANCE:C_WING_MAIN
"POINT (-74.5307859 39.4933647)",D_WING_MAIN,0-1, C_WING_MAIN:Inside_Stairs_D:D_WING_ENTRANCE_1:D_WING_ENTRANCE_2:D_WING_CONNECTOR
"POINT (-74.5306924 39.4938157)",D_WING_BACK_ENTRANCE,0-1,C_WING_BACK_ENTRANCE:D_WING_MAIN
"POINT (-74.530819 39.4931995)",D_WING_ENTRANCE_1,0,College_Walk_E:Inside_Stairs_D:D_WING_MAIN
"POINT (-74.5309161 39.4932811)",D_WING_ENTRANCE_2,0,D_WING_CONNECTOR:D_WING_MAIN:Inside_Stairs_D:D_WING_ENTRANCE_1
"POINT (-74.5309899 39.4933134)",D_WING_CONNECTOR,0-1,D_WING_MAIN:D_WING_ENTRANCE_2:CONNECTOR_STAIRS_D_TO_F:Inside_Stairs_D
