WKT,name,description
"LINESTRING (-74.5316869 39.4920662, -74.5317654 39.4920672)",College_Walk_O, H-Wing Stairway,
"LINESTRING (-74.5311709 39.4926745, -74.531098 39.4925889)",College_Walk_G, F_WING_ENTRANCE_2(100s),
"LINESTRING (-74.5303546 39.4929245, -74.5303665 39.4932579)",Exit_Stairs_C, College_Walk_D,
"LINESTRING (-74.5300134 39.4933424, -74.5300697 39.4929693)",B_Wing_Entrance, B_WING_MAIN (00s),
"LINESTRING (-74.5325087 39.4914321, -74.5331105 39.4914288)",College_Walk_L, College_Walk_M,
"LINESTRING (-74.5306656 39.492923, -74.5309079 39.4928729, -74.5308612 39.4928822)",College_Walk - F-Wing Outside Staircase,
"LINESTRING (-74.5314261 39.4922968, -74.5317511 39.4924826)",College_Walk_H, G_WING_ENTRANCE_1,
"LINESTRING (-74.5288937 39.4929506, -74.5289258 39.4933946)",Shuttle_Drop_Off, College_Walk_A,
"LINESTRING (-74.5296471 39.4929397, -74.528891 39.4929599)",College_Walk_A, College_Walk_B,
"LINESTRING (-74.5303044 39.4932996, -74.5303568 39.4933791)",Einstein_Bros_Entrance, C_WING_MAIN (00s),
"LINESTRING (-74.5300512 39.492933, -74.53007 39.4929786)",College_Walk_C, B_Wing_Entrance,
"LINESTRING (-74.5310501 39.4931316, -74.5307152 39.4930368)",College_Walk_E, F_Wing_Exit_Stair,
"LINESTRING (-74.5300512 39.492933, -74.5302199 39.4929632)",College_Walk_C, Out_Stairs_B,
"LINESTRING (-74.5307152 39.4930368, -74.5306656 39.492923)",College_Walk_E, College_Walk_F,
"LINESTRING (-74.5296845 39.4933526, -74.5296471 39.4929397)",A_WING_ENTRANCE, College_Walk_B,
"LINESTRING (-74.5307152 39.4930368, -74.530819 39.4931995)",D_WING_ENTRANCE_1, College_Walk_E,
"LINESTRING (-74.5336662 39.4918302, -74.5333108 39.491884)",L_WING_MAIN, N_WING_MAIN,
"LINESTRING (-74.5333812 39.491627, -74.5336662 39.4918302)",PAC_ENTRANCE, N_WING_MAIN,
"LINESTRING (-74.5333108 39.491884, -74.533265 39.4917502)",L_WING_MAIN, K_WING_ENTRANCE_3,
"LINESTRING (-74.5321569 39.4916805, -74.5321855 39.4917025)",Out_Stair_J_Wing, College_Walk_J,
"LINESTRING (-74.5331105 39.4914288, -74.5331055 39.491484)",College_Walk_M, K-Wing Stairway (Outside),
"LINESTRING (-74.5303044 39.4932996, -74.5300134 39.4933424)",B_WING_MAIN (00s), Einstein_Bros_Entrance,
"LINESTRING (-74.5310408 39.4933, -74.5310407 39.4933563)",CONNECTOR_STAIRS_D_TO_F, F_WING_CONNECTOR,
"LINESTRING (-74.5310407 39.4933563, -74.5309899 39.4933134)",CONNECTOR_STAIRS_D_TO_F, D_WING_CONNECTOR,
"LINESTRING (-74.5306656 39.492923, -74.5303546 39.4929245)",College_Walk_D, College_Walk_F,
"LINESTRING (-74.5303546 39.4929245, -74.5300512 39.492933)",College_Walk_D, College_Walk_C,
"LINESTRING (-74.5300512 39.492933, -74.5296471 39.4929397)",College_Walk_B, College_Walk_C,
"LINESTRING (-74.531098 39.4925889, -74.5306656 39.492923)",Collage_Walk_F, College_Walk_G,
"LINESTRING (-74.531098 39.4925889, -74.5313214 39.4923899)",College_Walk_G, College_Walk_N,
"LINESTRING (-74.5314261 39.4922968, -74.5313214 39.4923899)",College_Walk_N, College_Walk_H,
"LINESTRING (-74.5314261 39.4922968, -74.5316869 39.4920662)",College_Walk_H, College_Walk_O,
"LINESTRING (-74.5316869 39.4920662, -74.531846 39.4919311)",College_Walk_O, College_Walk_I,
"LINESTRING (-74.531846 39.4919311, -74.5321569 39.4916805)",College_Walk_I, College_Walk_J,
"LINESTRING (-74.5321569 39.4916805, -74.5322572 39.4915933)",College_Walk_J, College_Walk_K,
"LINESTRING (-74.5322572 39.4915933, -74.5325087 39.4914321)",College_Walk_K, College_Walk_L,
"LINESTRING (-74.5329836 39.4918364, -74.5330379 39.4919116)",K_WING_MAIN, K_WING_EXIT,
"LINESTRING (-74.5331685 39.4918568, -74.5329836 39.4918364)",K_WING_MAIN, K-Wing Stairway,
"LINESTRING (-74.5333108 39.491884, -74.5331685 39.4918568)",L_WING_MAIN, K-Wing Stairway,
"LINESTRING (-74.5329836 39.4918364, -74.5327246 39.4918785)",K_WING_MAIN, K_WING_CONNECTOR,
"LINESTRING (-74.5327246 39.4918785, -74.5326696 39.4919024)",I_WING_CONNECTOR, K_WING_CONNECTOR,
"LINESTRING (-74.5327246 39.4918785, -74.5326709 39.491862)",K_WING_CONNECTOR, Patio Stairway,
"LINESTRING (-74.5326696 39.4919024, -74.5326709 39.491862)",I_WING_CONNECTOR, Patio Stairway,
"LINESTRING (-74.5326696 39.4919024, -74.5324753 39.4920361)",J_WING_MAIN, I_WING_CONNECTOR,
"LINESTRING (-74.5324753 39.4920361, -74.5324471 39.4921479)",I_WING_MAIN, J_WING_MAIN,
"LINESTRING (-74.5324471 39.4921479, -74.5320528 39.4924087)",I_WING_MAIN, H_WING_MAIN,
"LINESTRING (-74.5320528 39.4924087, -74.5318583 39.4925991)",G_WING_MAIN, H_WING_MAIN,
"LINESTRING (-74.5321943 39.4923697, -74.5320528 39.4924087)",H_WING_ENTRANCE_1, H_WING_MAIN,
"LINESTRING (-74.5320528 39.4924087, -74.5321031 39.4924525)",H_WING_MAIN, H_WING_ENTRANCE_2,
"LINESTRING (-74.5321962 39.4921426, -74.5323688 39.4921583)",I-Wing Stairway, I-Wing (200s),
"LINESTRING (-74.5321962 39.4921426, -74.5324471 39.4921479)",I_WING_MAIN, I-Wing Stairway,
"LINESTRING (-74.5317654 39.4920672, -74.531702 39.4921365)",H-Wing Stairway, H_Wing_Entrance (100s),
"LINESTRING (-74.5317285 39.4921443, -74.5317654 39.4920672)",H-Wing Stairway, H_WING_ENTRANCE(200s),
"LINESTRING (-74.5314261 39.4922968, -74.5314041 39.4922176)",CC - Back Entr 1, College_Walk_H,
"LINESTRING (-74.5314261 39.4922968, -74.5313182 39.4922777)",CC - Back Entr 2, College_Walk_H,
"LINESTRING (-74.5314041 39.4922176, -74.5308649 39.491903)",CC - Main Entrance, CC - Back Entr 1,
"LINESTRING (-74.5313182 39.4922777, -74.5308649 39.491903)",CC - Main Entrance, CC - Back Entr 2,
"LINESTRING (-74.5313517 39.4924165, -74.5313064 39.492446)",F_WING_ENTRANCE (100s), F-Wing Stairway,
"LINESTRING (-74.5318583 39.4925991, -74.5317912 39.4926379)",G_WING_MAIN, G Wing Staircase,
"LINESTRING (-74.5310501 39.4931316, -74.5309161 39.4932811)",D_WING_ENTRANCE_2, F_Wing_Exit_Stair,
"LINESTRING (-74.5310501 39.4931316, -74.530819 39.4931995)",F_Wing_Exit_Stair, D_WING_ENTRANCE_1,
"LINESTRING (-74.5309161 39.4932811, -74.5307872 39.4933585)",D_WING_ENTRANCE_2, D_WING_MAIN,
"LINESTRING (-74.5309161 39.4932811, -74.5309899 39.4933134)",D_WING_CONNECTOR, D_WING_ENTRANCE_2,
"LINESTRING (-74.5310408 39.4933, -74.5313764 39.4928939)",F_WING_MAIN(100s), F_WING_CONNECTOR,
"LINESTRING (-74.5310408 39.4933, -74.5309899 39.4933134)",F_WING_CONNECTOR, D_WING_CONNECTOR,
"LINESTRING (-74.5309899 39.4933134, -74.5307872 39.4933585)",D_WING_MAIN, D_WING_CONNECTOR,
"LINESTRING (-74.5307872 39.4933585, -74.5303568 39.4933791)",C_WING_MAIN (00s), D_WING_MAIN,
"LINESTRING (-74.5303568 39.4933791, -74.5300134 39.4933424)",C_WING_MAIN (00s), B_WING_MAIN (00s),
"LINESTRING (-74.5300134 39.4933424, -74.529905 39.493349)",Inside_B_Stairs, B_WING_MAIN (00s),
"LINESTRING (-74.529905 39.493349, -74.5298027 39.4933532)",Inside_B_Stairs, A_Wing_100s,
"LINESTRING (-74.5298027 39.4933532, -74.5296845 39.4933526)",A_WING_ENTRANCE, A_WING_MAIN,
"LINESTRING (-74.5289937 39.4933873, -74.5289258 39.4933946)",Shuttle_Drop_Off, Entrance_AaS,
"LINESTRING (-74.5289937 39.4933873, -74.5296845 39.4933526)",Entrace_AaS, A_WING_ENTRANCE,
"LINESTRING (-74.5307739 39.4933191, -74.5303665 39.4932579)",D-Wing MAIN (100s), Exit_Stairs_C,
"LINESTRING (-74.5318583 39.4925991, -74.5316947 39.4928024)",G_WING_MAIN, G_WING_GARDEN_ENTRANCE,
"LINESTRING (-74.5299077 39.4933511, -74.5297073 39.4932785)",Inside_B_Stairs, Exit_Stairs_A,
"LINESTRING (-74.5298027 39.4933532, -74.5297073 39.4932785)",Exit_Stairs_A, A_Wing_100s,
"LINESTRING (-74.5313563 39.49289, -74.5311588 39.4927531)",F_WING_MAIN(200s), F_Wing_Stair_Atrium,
"LINESTRING (-74.5307903 39.4932548, -74.5307685 39.4933471)",D_WING_MAIN (100s), Inside_Stairs_D,
"LINESTRING (-74.5324462 39.4920346, -74.5323688 39.4921583)",I-Wing (200s), J-Wing (200s),
"LINESTRING (-74.5313764 39.4928939, -74.5311588 39.4927531)",F_WING_MAIN(100s), F_Wing_Stair_Atrium,
"LINESTRING (-74.5316947 39.4928024, -74.5313764 39.4928939)",F_WING_MAIN(100s), G_WING_GARDEN_ENTRANCE,
"LINESTRING (-74.5303568 39.4933791, -74.5303665 39.4932579)",C_WING_MAIN (00s), Exit_Stairs_C,
"LINESTRING (-74.5317912 39.4926379, -74.5313563 39.49289)",F_WING_MAIN(200s), G Wing Staircase,
"LINESTRING (-74.5333108 39.491884, -74.5329836 39.4918364)",K_WING_MAIN, L_WING_MAIN,
"LINESTRING (-74.5321855 39.4917025, -74.5321311 39.4917491)",J_WING_ENTRACE_1, Out_Stair_J_Wing,
"LINESTRING (-74.5307903 39.4932548, -74.530819 39.4931995)",Inside_Stairs_D, D_WING_ENTRANCE_1,
"LINESTRING (-74.5298014 39.4933532, -74.5297073 39.4932785)",A_WING_MAIN, Exit_Stairs_A,
"LINESTRING (-74.529905 39.493349, -74.5298014 39.4933532)",Inside_B_Stairs, A_WING_MAIN,
"LINESTRING (-74.5313296 39.4924584, -74.5313517 39.4924165)",F-Wing Stairway, F_WING_ENTRANCE(200s),
